,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
683,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Divorced,Roman Catholic,Never,Republican,,Conservative,3 people,Full-time employment
684,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,Married,Roman Catholic,Once a week,,,Moderate,4,Full-time employment
687,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,College graduate/some postgrad,White,,Married,Protestant,Seldom,Republican,,Conservative,3,Full-time employment
688,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Postgraduate,White,,Married,Protestant,Seldom,,,Conservative,4,Full-time employment
691,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,Postgraduate,White,"Yes, a citizen of the United States",,Agnostic,Never,Democrat,"$75,000-$100,000",Very liberal,2,Full-time employment
692,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,,,Protestant,Seldom,Democrat,,Moderate,3,Full-time employment
694,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,Black,Yes,Never been married,Roman Catholic,Seldom,,,Liberal,3,Retired
695,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,Black,,Never been married,Agnostic,Never,Democrat,,Liberal,1,Full-time employment
696,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,A few times a year,,,Conservative,2 people,Part-time employment
697,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Postgraduate,Asian,"Yes, a citizen of the United States",Married,Hindu,A few times a year,,,Liberal,3 people,Part-time employment
702,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",,Roman Catholic,Once or twice a month,Republican,,Conservative,More than 4,Full-time employment
703,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,Republican,,Conservative,2 people,Full-time employment
704,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,Postgraduate,Asian,,Divorced,Protestant,A few times a year,Republican,,Conservative,2,Full-time employment
705,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) region of the United States.",Female.,65+.,Associate's degree.,Black.,"Yes, a citizen of the United States.",Never been married.,Other.,Seldom.,Democrat.,"Less than $30,000 per year.",Liberal.,1 person.,Retired.
706,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Moderate,3 people,Unemployed
710,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Other,Seldom,Democrat,,Very liberal,4,Full-time employment
712,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Divorced,Protestant,Once a week,Republican,,Moderate,2,Full-time employment
714,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,Yes,Married,Nothing in particular,Never,Democrat,,Liberal,4,Full-time employment
715,"Pacific (HI, AK)",Male,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",,Other,A few times a year,,,Moderate,3,Full-time employment
717,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,"Some college, no degree",White,,Married,Agnostic,Never,Democrat,,Moderate,4,Retired
719,"Pacific (HI, AK)",Female,30-49,College graduate/some postgrad,White,Yes,Never been married,Other,Never,Democrat,,Liberal,1,Full-time employment
721,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Very liberal,1 person,Self-employed
723,"Lives in the Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH).",Female.,30-49 years old.,College graduate/some postgraduate studies.,Other.,,Never been married.,Other.,Once or twice a month.,,,Moderate.,1 person.,Full-time employment.
724,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Orthodox,Once or twice a month,Republican,"$50,000-$75,000",Conservative,2 people,Full-time employment
725,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,A few times a year,Democrat,,Very liberal,4 people,Student
726,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,High school graduate,Black,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Liberal,2 people,Retired
727,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,High school graduate,White,,Married,Roman Catholic,Once or twice a month,Republican,,Moderate,2 people,Full-time employment
728,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Other,Never,Democrat,,Liberal,3,Full-time employment
729,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,Associate's degree,Hispanic,,Never been married,Nothing in particular,Never,Something else,,Moderate,2 people,Unemployed
730,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,Associate's degree,Asian,"Yes, a citizen of the United States",,Agnostic,A few times a year,Democrat,,Liberal,4 people,Student
732,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,High school graduate,Asian,"Yes, a citizen of the United States",,Roman Catholic,A few times a year,,,Moderate,2 people,Unemployed
734,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",,Protestant,Once a week,,,Moderate,2 people,Self-employed
736,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,"Some college, no degree",White,,,Other,Seldom,Something else,,Liberal,1,Unemployed
737,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,65+,Postgraduate,White,,Never been married,Atheist,Never,Democrat,,Very liberal,1 person,Self-employed
739,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Liberal,4 people,Unemployed
740,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Associate's degree,Other,,Never been married,Roman Catholic,Seldom,Independent,,Moderate,2 people,Unemployed
741,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,College graduate/some postgrad,White,,Married,Other,Seldom,Independent,,Liberal,4,Self-employed
747,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,College graduate/some postgrad,White,,Divorced,Agnostic,Never,Democrat,,Liberal,1,Retired
748,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",,Nothing in particular,Never,,,Moderate,2 people,Unemployed
749,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Roman Catholic,A few times a year,,,Conservative,More than 4,Student
751,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,18-29.,"Some college, no degree.",Asian.,"Yes, a citizen of the United States.",Never been married.,Nothing in particular.,Never attends religious services (aside from weddings/funerals).,Democrat.,"\$100,000 or more.",Liberal.,4 people.,Unemployed.
753,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,Once a week,Independent,"\$100,000 or more",Moderate,3,Full-time employment
755,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Other,Never,,,Liberal,2 people,Full-time employment
757,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Moderate,2 people,Full-time employment
758,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Postgraduate,White,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Republican,"\$30,000-\$50,000",Conservative,2 people,Part-time employment
760,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Married,Other,Once a week,,,Conservative,2 people,Unemployed
761,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",,Protestant,Once or twice a month,Democrat,,Very liberal,4 people,Home-maker
762,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Hispanic,,Married,Nothing in particular,Never,Republican,,Moderate,4 people,Full-time employment
763,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",,Other,Seldom,,,Moderate,2 people,Unemployed
764,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Roman Catholic,Once or twice a month,,,Very conservative,4 people,Full-time employment
766,"Lives in the Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH).",Female.,30-49 years old.,Associate's degree.,White.,"Yes, a citizen of the United States.",Never been married.,Roman Catholic.,Seldom attends religious services (aside from weddings and funerals).,Identifies as a Democrat.,"Less than $30,000 per year.",Very liberal.,1 person in the household.,Full-time employment.
767,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",,Agnostic,Never,,,Very liberal,3 people,Part-time employment
768,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,Independent,"\$75,000-\$100,000",Liberal,More than 4,Full-time employment
769,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,,,Moderate,4 people,Student
771,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,"Some college, no degree",Asian,,Never been married,Nothing in particular,Never,,,Very liberal,3,Student
774,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Atheist,A few times a year,Democrat,"$50,000-$75,000",Liberal,2 people,Full-time employment
778,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,Yes,Married,Roman Catholic,Once a week,Republican,,Conservative,More than 4,Unemployed
780,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Other,Seldom,,,Very liberal,2 people,Retired
781,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Postgraduate,White,,Never been married,Agnostic,Never,Something else,,Very liberal,1 person,Unemployed
782,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Moderate,4 people,Full-time employment
784,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,White,,Never been married,Roman Catholic,Once a week,Independent,,Moderate,More than 4,Full-time employment
785,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Jewish,Seldom,Republican,,Moderate,3 people,Full-time employment
786,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,White,,Never been married,Protestant,A few times a year,Democrat,,Moderate,2,Part-time employment
788,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once or twice a month,,,Conservative,3 people,Full-time employment
790,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",White,,Never been married,Atheist,Never,Independent,,Very liberal,4,Full-time employment
793,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Widowed,Protestant,Seldom,Republican,,Liberal,3,Part-time employment
794,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,"Some college, no degree",Black,,Never been married,Roman Catholic,Seldom,Democrat,,Very liberal,3,Student
796,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Jewish,A few times a year,Republican,,Conservative,3 people,Unemployed
797,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,Asian,"Yes, a citizen of the United States",Never been married,Protestant,A few times a year,,,Conservative,3 people,Part-time employment
798,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,White,,Divorced,Protestant,Never,,,Moderate,2,Full-time employment
799,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Muslim,Seldom,Democrat,"\$30,000-\$50,000",Liberal,4 people,Part-time employment
801,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Roman Catholic,Never,Democrat,,Liberal,3 people,Home-maker
802,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Other,Never,Independent,,Liberal,4,Unemployed
806,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Protestant,More than once a week,Independent,"Less than $30,000",Moderate,2 people,Self-employed
808,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Postgraduate,Black,"Yes, a citizen of the United States",Married,Nothing in particular,Seldom,,,Moderate,2 people,Full-time employment
809,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Moderate,2 people,Full-time employment
810,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,Yes,Never been married,Nothing in particular,Never,,,Liberal,3,Unemployed
811,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Other,Seldom,Republican,,Very conservative,2 people,Full-time employment
812,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",Other,,Married,Nothing in particular,Never,,,Moderate,3,Self-employed
813,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Atheist,Never,,,Conservative,1 person,Unemployed
816,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,College graduate/some postgrad,White,,Married,Protestant,Seldom,,,Moderate,4 people,Self-employed
817,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Protestant,Once a week,,,Liberal,2 people,Full-time employment
818,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,,Never been married,Atheist,Never,Democrat,,Liberal,3,Full-time employment
